document_id,taxonomy_code,from_vendor,to_vendor,direction,evidence_span
8594,none,none,none,none,"I am guessing that instead of giving access to the entire external location, we can provide access to a specific subfolder of the location using volumes."
8703,skills_team,none,none,none,"I could use Java, but I am also managing our team and we want to stay with Python since that is our team's core skill set (myself included)."
8733,none,none,none,none,I'm trying to UNION ALL requests (one request by quarter).
8859,none,none,none,none,Our testing so far with the custom dialect worked fine even writing TimestampTypes as datetime2 until a limit clause is send because the query contains LIMIT 10001 instead of TOP 10001.
9002,none,none,none,none,"Is anything like below possible to achieve and how: {""col1_list"":[v1,v2], ""col2_list"": [v3,v4]} Or instead of ARRAY_AGG I must use something else to achieve the result?"
9025,none,none,none,none,"Right now, I have an error when I try to write data using Databricks Secret instead of the JSON credential file and setting the GOOGLE_APPLICATION_CREDENTIALS environment variable."
9054,none,none,none,none,"my test.csv: ID,SOURCES 8dabe,[""test""] 9ef9c,[""test""] But I need a column (SOURCES) to be a VARIANT type instead of a VARCHAR type."
9073,none,none,none,none,"execute the CREATE TABLE statement on the scope of the DB (for which it doesn't have permission) and only then route it to the schema (for which it does have permission), instead of executing it on the scope of the schema (if that makes sense...)."
9082,none,none,none,none,We have set up an Azure Synapse Link for Dataverse in Fabric which is working fine.
9116,none,none,none,none,"their applications via queries alike SELECT * FROM my_view WHERE Client = 'my_client' and Location = 'my_location' Creating a table instead of a view is not desirable because of data multiplication My Question is: Will the whole view be created before filtering on client/location, or"
9121,none,none,none,none,"user_id product_names 2024-12-01 u1 A,B,C 2024-12-01 u2 B,C,D I tried this but getting an error Unsupported subquery type cannot be evaluated select *, product_list, (select listagg(product_name, ',') from products where product_id in (select value from table(split_to_table(product_list, ',')))) as product_names from users_attributes ua left join users"
9321,none,none,none,none,"Is there a way to amend the column headers from the .xlsx file to be all upper case, and overwrite the headers that are already there, instead of making new headers?"
9420,none,none,none,none,"For example, if my parquet file was here: s3://bucket-name/folder/subfolder/table.name/1/part-000-1234.parquet Instead of creating the table ""table.name"" in the Glue Database, it creates a table called ""part-000-1234.parquet"" or sometimes creates one using the success flag followed by an id like ""_sucess_840193"" (generated by the S3 export from"
9449,none,none,none,none,"I recently loaded a dataset into BigQuery, and all my column names use underscores (_) instead of spaces."
9493,none,none,none,none,But my boss kept giving relatively inconsequential (in my eyes) feedback (at visual level) like show a pie chart here instead of bar chart show the cost on a per department basis instead of account manager basis show the median of past three quarters here
9494,none,none,none,none,"I have also tried pulling the data straight from an S3 bucket, instead of the Glue Database, but I am using a crawler to organize the data first (using exclude patterns) which makes it easier to run the glue job on."
9566,none,none,none,none,"I'm setting up a CML session with 64GB of RAM and 4 CPUs, then I set up a PySpark session with these configurations spark = SparkSession.builder \ .appName(""OptimizedSparkSession"") \ .master(""local[*]"") \ .config(""spark.sql.execution.arrow.pyspark.enabled"", ""false"") \ .config(""spark.sql.shuffle.partitions"", ""400"") \ .config(""spark.executor.memory"", ""32g"") \ .config('spark.executor.instance', '10') \ .config(""spark.executor.cores"", ""4"")"
9729,none,none,none,none,I’m working with a very large dataset that a customer shared with me in Snowflake.
9822,none,none,none,none,"Instead of {song: null} it merges with {song: {id: null, name: null, country: null}} Here is how I do my merge: deltaTable = DeltaTable.forPath(self.spark, deltaPath) deltaTable.alias(""existing"") \ .merge( dataDf.alias(""updates""), # dataDf is the ""selected"" input ""existing.id = updates.id"") .whenMatchedUpdateAll(""(updates.song IS NOT DISTINCT FROM existing.song) OR"
9859,none,none,none,none,When I remove the us-east-2.aws bit from the URL (using postman) it at least responds like an API instead of a webpage 404.
9916,none,none,none,none,"in my ""changelogs"" directory (changelog-1.1.yaml): # cat changelog-1.1.yaml databaseChangeLog: - changeSet: id: ""1"" author: ""developer1"" changes: - sqlFile: path: ""Database_Objects/project1/create_schema1-tbl1b.sql"" Instead of returning this error, I expected that when I run the Liquibase update command, Liquibase would execute the script located here: Database_Objects/project1/create_schema1-tbl1b.sql What I"
9947,none,none,none,none,Instead of altering my storage integration in the development environment I did a CREATE OR ALTER when adding a new Azure storage location to the STORAGE_ALLOWED_LOCATIONS.
9990,none,none,none,none,"{ enabled: true minExecutors: sparkPool.minExecutorCount maxExecutors: sparkPool.maxExecutorCount } : null cacheSize: sparkPool.cacheSize } } ] It creates a new one instead of assigning an existing one: But if I remove the content and keep the name with Artifact or File option available here, I get"
10292,none,none,none,none,"I have written a small Glue script that fetches some data between two dates, but I found that it scans the entire table instead of just the data within the specified time range."
10321,none,none,none,none,"I attempted several variations to force partition pruning, but all resulting query plans show a scan of all partitions (processing TBs of data instead of GBs): Direct Join: JOIN selection_cte ON t.capturedTimestamp = s.capturedTimestamp IN clause: Using WHERE t.capturedTimestamp IN (SELECT ...) (as seen above)."
10328,none,none,none,none,I have an interesting issue with passing parameters to a udf from within a stored procedure.
10386,none,none,none,none,"A very strange error, since it only happens some of the time and furthermore, the mention of presigned URLs is even more strange, since S3 Tables should be accessed with short-lived temporary credentials from Lakeformation instead of any presigned URL."
10409,none,none,none,none,We are using databricks to execute our code.
10523,none,none,none,none,"to recover the records that are deleted a few mins ago ```sql select * from awesome_first_table at(offset => -60*5); ``` ![Select all from awesome_first_table (with time offset 5 min) - snowflake time travel](https://dev-to-uploads.s3.amazonaws.com/uploads/articles/0yt4nzzkkzx7d9kabpr2.png) Instead of using offset, you can also provide the [TIMESTAMP](https://docs.snowflake.com/en/sql-reference/data-types-datetime#timestamp), or STATEMENT."
10544,none,none,none,none,"Guest blog by [Shashank Mishra](https://www.linkedin.com/in/shashank219/), Data Engineer @ _Expedia_ ## TLDR [Snowflake](https://www.snowflake.com/en/) is a cloud-based data warehousing platform that brings a new level of performance, simplicity, and affordability to businesses that require big data processing and analytics."
10575,none,none,none,none,"As your data grows in your Amazon Redshift cluster, it’s important to have an accurate count of the number of rows in your tables or views."
10625,none,none,none,none,One of the standout services within the AWS ecosystem is the Elastic Container Service (ECS) with the Fargate launch type.
10654,none,none,none,none,"### Introduction As a data enthusiast, I’ve always been fascinated by the power of cloud platforms to transform raw data into actionable insights."
10673,none,none,none,none,"Rename backend base url window variables to use \_\_streamlit object, Small improvements to Streamlit Hello, [AdvancedLayouts] Change to use None instead of “none” for column gap size, Add dataframeBorderColor theming config option, Add support for config & secret files on main-script level, [AdvancedLayouts] Adds a"
10709,none,none,none,none,"### All Data and AI Weekly #### ( AI, Data, NiFi, Iceberg, Polaris, Streamlit, Flink, Kafka, Python, Java, SQL, MCP, LLM, RAG, Cortex AI, AISQL, Search, Unstructured Data ) ### #212: 20 Oct 2025 [https://bsky.app/profile/paasdev.bsky.social](https://bsky.app/profile/paasdev.bsky.social) **NiFi + AI + AI Data Cloud + Iceberg.** ![b](https://images.credential.net/badge/tiny/g6fomszs_1741624330730_badge.png)"
10713,none,none,none,none,``` ┌─────────────────────────────────────────────────────┐ │ PROMPT TEMPLATES in Model Registry │ │ - Version control for prompts as artifacts │ │ - Evaluated with: TruLens + ExperimentTracking │ └────────────────────────────┬────────────────────────┘ │ ┌────────┴────────┐ │ Serving │ ┌───────────────▼───────┐ ┌──────▼─────────────┐ │ Container Services │ │ Stored Procedures │ │ - Online
10715,cost,snowflake,other,evaluate,"The primary driver of inflated Snowflake bills for bursty, interactive workloads is the platform's billing model for compute."
10723,none,none,none,none,"DealData { Season: number[], countryOfProduction: string[], productionGroup: string[], supplierName: string[], dealTypes: string[] } ``` ### Best Practice: Let BigQuery Build Arrays (Using ARRAY_AGG) Instead of retrieving many rows and aggregating in C#, BigQuery can directly return one row with arrays for each column using ARRAY_AGG."
10728,none,none,none,none,"to external Iceberg REST catalogs like generic Iceberg REST, AWS Glue Data Catalog, and Databricks Unity Catalog via private endpoints instead of the public internet #### Snowflake Applications (Container Services, Notebooks and Applications, Snowconvert) - Notebooks in Workspaces (Preview), the new notebook experience offers a"
10793,none,none,none,none,"maximized) and their behavioral differences I also changed how I took practice tests, instead of checking whether I got the answer right, I forced myself to articulate why each wrong option was wrong."
10878,none,none,none,none,"**Native tools approach** — uses Snowflake, dbt, and Airflow tools natively instead of bash-based workarounds ### New Features at Summit 2026 #### CoCo Desktop (GA Soon) A **native desktop application for Windows and macOS**: - One place to create data pipelines, build applications, design agents,"
10883,ecosystem_fit,none,microsoft,adopt,"Why we still chose it: it reduced repeated direct-query pressure from many downstream users and gave us a shared serving layer across SQL, Spark, and BI."
10949,governance_security,none,none,none,The zero-copy savings are nice; the governance simplification is what will actually convince your security org to let you retire the export jobs.
10960,none,none,none,none,"`error_output_prefix` matters more than it looks: without it, delivery failures (e.g., an IAM issue) fail silently instead of landing somewhere queryable."
10963,ecosystem_fit,none,microsoft,evaluate,"Fabric wins on Microsoft-shop fit because the identity, licensing, and Power BI story compound; Databricks wins on ML depth and cross-cloud reach; Snowflake wins on pure warehouse UX and Iceberg-native storage; Synapse is the legacy option that Fabric is actively replacing."
10972,none,none,none,none,The [official Databricks overview](https://docs.databricks.com/aws/en/ldp/developer/dlt-meta) explicitly directs users to GitHub issues instead of standard support tickets.
10987,none,none,none,none,"Instead of maintaining multiple independent systems, organizations can process large-scale data using one integrated environment."
10989,none,none,none,none,"code, so the entire unit can be validated, deployed, promoted across environments, and rolled back from a git commit — instead of being assembled by hand in the Jobs UI where there is no diff, no review, and no reproducible path from dev to prod.**"
10994,none,none,none,none,The framework should expose that boundary instead of hiding it behind a product label.
11000,lock_in_openness,none,none,none,every internal decision becomes lock-in accepted on faith; integrations arrive only as fast as you build them.
11019,none,none,none,none,"- **Lightweight reverse ETL avoidance** — instead of syncing BigQuery-computed aggregates back into the app database via a separate tool, keep the raw operational tables flowing one direction into the warehouse and do the heavy computation there."
11048,none,none,none,none,"Leave everything as Databricks designed it, and make your code read the schema name at runtime instead of hardcoding it."
11058,none,none,none,none,"Why Snowflake Medallion Architecture & Idempotent MERGE INTO are Critical for High-Volume Data Engineering: In high-volume streaming and batch pipelines, 5% of transactional data often arrives 2 to 3 days late due to upstream system delays or network retries."
11069,none,none,none,none,"Long term storage drops the rate by roughly half after 90 days without modification, and each partition of a partitioned table is evaluated separately for that discount (Google Cloud, BigQuery pricing documentation)."
11070,lock_in_openness,snowflake,other,evaluate,Cortex Analyst is a good product with one hard boundary: it ends where Snowflake ends.
11092,none,none,none,none,It is what it costs once the table has millions of rows instead of five.
11097,none,none,none,none,"--- title: ""Seven Iceberg REST Catalogs: What They Declare, and What They Serve"" published: true description: ""One request suite against seven Apache Iceberg REST catalog implementations — Polaris, BigLake, Glue, S3 Tables, Unity, Horizon and OneLake — comparing what each catalog declares it supports against"
11131,none,none,none,none,"By using the PERIOD data type, you can handle a time range such as ""valid from when to when"" as a single value, instead of splitting it into two columns for the start and end timestamps."
11135,operational_simplicity,aws,other,evaluate,"S3 Tables handles compaction, but you cannot see what it did."
11140,none,none,none,none,Delete file maintenance Iceberg's merge-on-read mode writes position delete files instead of immediately rewriting data files on row-level deletes.
11149,skills_team,none,none,evaluate,"and that is a team-and-cost question, not a file-format one."
11150,lock_in_openness,none,aws,evaluate,"Those are managed platforms with their own runtimes and billing; EMR keeps you on open-source engines and open table formats you can lift to any other environment, at the cost of more assembly."
12422,none,none,none,none,"## Introdução ao DQX No cenário atual, onde os dados são frequentemente comparados ao ""novo petróleo"", garantir sua qualidade tornou-se uma prioridade estratégica para organizações de todos os tamanhos."
12496,none,none,none,none,The goal of this project is to explore the **Olist dataset** about Brazilian e-commerce using **Apache Spark**.
12498,cost,other,databricks,adopt,"These legacy systems are notoriously expensive to maintain, struggle to handle the variety and volume of modern data (like video, text, and IoT streams), and lock your data in a proprietary format that is inaccessible to modern machine learning tools."
12516,ecosystem_fit,none,none,evaluate,"It combines data warehousing, big data processing, data integration, and data exploration in one place on Azure."
12628,none,none,none,none,"# Data Mesh Starter Kit **Product ID:** `data-mesh-starter-kit` **Version:** 1.0.0 **Price:** $69 USD **Author:** [Datanest Digital](https://datanest-stores.com) **Category:** Data Engineering --- ## Overview The Data Mesh Starter Kit is a comprehensive, practitioner-focused toolkit for organizations transitioning from centralized data architectures to a domain-oriented data mesh."
12685,none,none,none,none,"Instead of reprocessing everything daily, you only process what changed."
12733,none,none,none,none,on NAS data** → Stage via FPolicy → Lambda → S3 → Auto Loader → UC Managed Table - **Exploratory PoC (time-limited)** → Instance Profile + boto3 with compensating controls This article is a layer-by-layer validation of observed integration boundaries between Databricks and FSx for
12751,none,none,none,none,Microsoft Fabric Shortcuts give us a way out of that pattern by letting a Fabric Lakehouse *reference* data where it already lives instead of copying it again.
12862,none,none,none,none,A quorum-replicated write-ahead-log service (SafeKeeper) makes commits durable across nodes instead of on a single disk.
12957,ecosystem_fit,databricks,aws,evaluate,"If zero-copy is a requirement, evaluate AWS-native engines that authorise in the caller's own IAM context alongside it"
13140,cost,aws,other,evaluate,"A high-churn table that triggers many small compaction runs pays a floor of 60 seconds of DPU each time, and the reports of Glue compacting fewer than ten files per run several times an hour are exactly this failure mode: you are billed a minimum-duration run to do almost nothing."
